X,Y,製品名,在庫数
3,3,P9,6
9,6,P7,30
9,2,P10,21
8,3,P8,14
9,3,P6,24
0,6,P3,30
10,3,P2,24
0,2,P1,20
2,3,P4,23
2,5,P5,7
7,3,P8,17
6,2,P6,17
8,5,P10,20
3,4,P1,11
10,4,P3,24
3,6,P1,14
6,3,P8,26
5,3,P8,18
6,5,P1,17
5,2,P6,11
1,6,P9,17
4,5,P7,19
10,2,P6,11
7,6,P3,12
1,5,P4,22
8,2,P9,9
4,3,P1,18
6,6,P9,23
9,5,P5,22
3,2,P4,24
10,6,P10,14
7,5,P10,8
10,5,P6,23
4,6,P2,13
0,5,P10,23
8,4,P2,24
2,6,P2,24
3,5,P6,28
9,4,P3,27
5,4,P7,17
1,4,P6,24
2,2,P9,16
7,2,P9,9
0,3,P10,12
6,4,P8,28
4,2,P4,18
8,6,P7,18
2,4,P3,7
7,4,P7,16
1,2,P8,7
